"image","xmin","ymin","xmax","ymax","label"
"trawienie_11.jpg",656.9277108433735,151.60599571734474,728.8955823293172,242.82655246252676,"Essentiale Forte"
"trawienie_11.jpg",727.6104417670683,156.74518201284792,799.5783132530121,240.25695931477512,"Essentiale MAX"
"trawienie_11.jpg",795.722891566265,152.89079229122055,872.8313253012047,242.82655246252676,"Essentiale MAX"
"trawienie_11.jpg",593.9558232931727,168.30835117773017,659.4979919678715,242.82655246252676,"Essentiale Forte"
"trawienie_11.jpg",577.2489959839357,238.97216274089934,656.9277108433735,328.90792291220555,"Essentiale Forte"
"trawienie_11.jpg",651.7871485943775,240.25695931477514,725.0401606425703,327.6231263383297,"Essentiale Forte"
"trawienie_11.jpg",726.3253012048193,241.54175588865095,794.437751004016,327.62312633832977,"Essentiale MAX"
"trawienie_11.jpg",790.5823293172691,241.54175588865095,863.8353413654619,327.62312633832977,"Essentiale MAX"
"trawienie_11.jpg",353.63453815261045,403.42612419700214,502.71084337349396,492.07708779443254,"Verdin Complexx"
"trawienie_11.jpg",345.9236947791165,490.7922912205567,502.71084337349396,573.0192719486081,"Verdin Complexx"
"trawienie_11.jpg",498.8554216867469,403.42612419700214,647.710843373494,495.93147751605994,"DOZ Travium"
"trawienie_11.jpg",642.7911646586346,409.85010706638116,794.437751004016,495.93147751605994,"DOZ Travium"
"trawienie_11.jpg",502.71084337349396,492.07708779443254,649.2168674698795,575.5888650963598,"DOZ Travium"
"trawienie_11.jpg",645.3614457831326,493.3618843683083,790.5823293172691,579.4432548179872,"DOZ Travium"
"trawienie_11.jpg",791.867469879518,422.6980728051392,901.1044176706827,499.7858672376874,"DOZ Na watrobe FORTE"
"trawienie_11.jpg",785.4417670682731,499.78586723768734,895.9638554216867,575.5888650963598,"DOZ Na watrobe FORTE"
"trawienie_11.jpg",895.9638554216867,498.50107066381156,1005.2008032128514,578.1584582441113,"DOZ Na watrobe FORTE"
"trawienie_11.jpg",895.9638554216867,420.1284796573876,1009.0562248995984,499.78586723768734,"DOZ Na watrobe FORTE"
"trawienie_11.jpg",1003.9156626506023,493.36188436830827,1064.0963855421687,582.0128479657387,"Hepatil"
"trawienie_11.jpg",1059.1767068273093,489.5074946466809,1123.4337349397592,582.0128479657387,"Hepatil"
"trawienie_11.jpg",993.6345381526104,648.8222698072805,1132.429718875502,742.6124197002141,"Bioprazol MAX"
"trawienie_11.jpg",998.7751004016064,746.4668094218415,1133.714859437751,835.1177730192719,"Bioprazol MAX"
"trawienie_11.jpg",877.9718875502008,651.3918629550321,1000.0602409638554,741.3276231263384,"Bioprazol MAX"
"trawienie_11.jpg",872.8313253012049,738.7580299785867,997.4899598393574,828.693790149893,"Bioprazol MAX"
"trawienie_11.jpg",755.8835341365461,738.7580299785867,877.9718875502008,824.8394004282655,"Bioprazol MAX"
"trawienie_11.jpg",755.8835341365461,650.1070663811563,875.4016064257028,738.7580299785867,"Bioprazol MAX"
"trawienie_11.jpg",636.3654618473896,641.1134903640257,755.8835341365462,740.0428265524624,"Bioprazol MAX"
"trawienie_11.jpg",635.0803212851406,736.188436830835,754.5983935742972,824.8394004282654,"Bioprazol MAX"
